TAB	MESSAGE	SW-MESSAGE
all	🔄 Refresh (top right) reloads everything fresh; the page also quietly re-syncs itself in the background.	🔄 Refresh (juu kulia) hupakia upya kila kitu; ukurasa pia hujisasisha wenyewe chinichini.
all	🖱️ Click any column header to sort that table; click it again to reverse the order.	🖱️ Bofya kichwa cha safu yoyote kupanga jedwali; bofya tena kubadilisha mpangilio.
all	🔍 The magnifier (top right) searches customers by name, REF# or phone across the whole system.	🔍 Kioo cha kukuza (juu kulia) hutafuta wateja kwa jina, REF# au namba ya simu katika mfumo mzima.
all	📥 Every card has its OWN Excel, JPG and CSV buttons — they export that table exactly as you have filtered it.	📥 Kila kadi ina vitufe VYAKE vya Excel, JPG na CSV — hupakua jedwali hilo kama ulivyolichuja.
all	📷 The JPG button turns a single table or chart into a picture — ready for WhatsApp or a report.	📷 Kitufe cha JPG hugeuza jedwali au chati moja kuwa picha — tayari kwa WhatsApp au ripoti.
all	🌓 The sun/moon button switches light and dark mode — your choice is remembered on this device.	🌓 Kitufe cha jua/mwezi hubadilisha hali ya mwanga na giza — chaguo lako hukumbukwa kwenye kifaa hiki.
all	🇹🇿 The EN/SW button switches the language of the whole portal.	🇹🇿 Kitufe cha EN/SW hubadilisha lugha ya mfumo mzima.
all	☎️ Phone numbers everywhere are clickable — tap to call the customer or guarantor directly.	☎️ Namba za simu kila mahali zinabofyeka — gusa kupiga simu kwa mteja au mdhamini moja kwa moja.
all	🔢 Every table carries an S/N column, so a row can be read out in a meeting without counting.	🔢 Kila jedwali lina safu ya S/N, hivyo mstari unaweza kutajwa kwenye kikao bila kuhesabu.
dashboard	📊 The dashboard is built from today's uploads — current defaulters, expected repayments, approved loans and received payments.	📊 Dashibodi hujengwa kutoka upakiaji wa leo — wadaiwa wa sasa, marejesho yanayotarajiwa, mikopo iliyoidhinishwa na malipo yaliyopokelewa.
dashboard	🎯 "Sales this week" counts only loans whose APPROVED DATE falls inside this week, measured against the weekly company target.	🎯 "Sales this week" huhesabu mikopo tu ambayo APPROVED DATE yake iko ndani ya wiki hii, ikilinganishwa na lengo la wiki la kampuni.
dashboard	🔴 In the officer boards, a red % means below the group average — an instant view of who needs support.	🔴 Katika bodi za maafisa, asilimia nyekundu inamaanisha chini ya wastani wa kikundi — njia ya haraka kuona nani anahitaji msaada.
dashboard	📅 The weekly recovery trend compares each day's initial vs current defaulter arrears; Sat/Sun are recovery-only days.	📅 Mwenendo wa urejeshaji wa wiki hulinganisha deni la awali dhidi ya la sasa la wadaiwa kila siku; Jumamosi/Jumapili ni siku za urejeshaji pekee.
dashboard	🧮 Recovery % = recovered ÷ that day's uncollected. On weekends it is measured against the day's initial arrears instead.	🧮 Asilimia ya urejeshaji = kilichorejeshwa ÷ kisichokusanywa cha siku hiyo. Wikendi hupimwa dhidi ya deni la awali la siku badala yake.
dashboard	➖ Debt crisis appears on the WEEKLY recovery board only — a customer cannot fall into default between breakfast and lunch.	➖ Ongezeko la deni huonekana kwenye bodi ya urejeshaji ya WIKI pekee — mteja hawezi kuingia kwenye deni kati ya asubuhi na mchana.
dashboard	☎️ "Call agents" here means the CUSTOMER SERVICE agents named as CREATED BY on the application reports — only TRACK# 1 customers count.	☎️ "Call agents" hapa ni mawakala wa huduma kwa wateja walioandikwa kama CREATED BY kwenye ripoti za maombi — wateja wa TRACK# 1 pekee ndio huhesabiwa.
dashboard	⚠️ If the initial and current decks have different customer counts, the dashboard says so — recovery would be overstated by the difference.	⚠️ Kama orodha ya awali na ya sasa zina idadi tofauti ya wateja, dashibodi itakuambia — urejeshaji ungeonekana mkubwa kuliko ukweli.
apps	🗂️ Every stage of the loan pipeline is here — Unassigned, Assigned, Assessed, Pending Approval, Approved and Disbursed.	🗂️ Kila hatua ya mchakato wa mkopo iko hapa — Unassigned, Assigned, Assessed, Pending Approval, Approved na Disbursed.
apps	👀 "All stages" is the default — you no longer have to know which stage an application reached before you can find it.	👀 "Hatua zote" ndiyo chaguo-msingi — huhitaji tena kujua hatua ya maombi kabla ya kuyatafuta.
apps	🔎 Filter by stage or team, or search by docket number, name or contact.	🔎 Chuja kwa hatua au timu, au tafuta kwa namba ya jalada, jina au namba ya simu.
complaints	📞 Register complaints from calls, walk-ins or any external party — with category, channel and status.	📞 Sajili malalamiko kutoka simu, wageni au mtu yeyote wa nje — pamoja na aina, njia na hali.
complaints	✅ When a complaint is handled, fill "Ufumbuzi / Resolution" and switch its status to Resolved.	✅ Lalamiko likishughulikiwa, jaza "Ufumbuzi / Resolution" na ubadilishe hali yake kuwa Resolved.
complaints	🕓 Every save is tracked — open a complaint to see who registered, edited or resolved it, and when.	🕓 Kila uhifadhi hufuatiliwa — fungua lalamiko kuona nani alisajili, alihariri au alifunga, na lini.
complaints	📅 Use the From/To dates to audit complaints for any period — categories and channels are fixed lists so they can be counted.	📅 Tumia tarehe za From/To kukagua malalamiko ya kipindi chochote — aina na njia ni orodha maalum ili ziweze kuhesabiwa.
expected	📆 The Mon–Fri tabs hold each weekday's installments — "leo" marks today.	📆 Vichupo vya Jumatatu–Ijumaa vina marejesho ya kila siku — "leo" huonyesha leo.
expected	🟢 PAID and OVERPAID count the full installment; UNDERPAID counts expected − arrears; UNPAID counts zero.	🟢 PAID na OVERPAID huhesabu rejesho kamili; UNDERPAID huhesabu inayotarajiwa − deni; UNPAID huhesabu sifuri.
expected	⏰ Early-collection officers are judged on TOMORROW's (kesho) list — push it before the day ends.	⏰ Maafisa wa ukusanyaji wa mapema hupimwa kwa orodha ya KESHO — ifanyie kazi kabla siku haijaisha.
expected	📤 Upload each day's sheet under its own date — "kesho" is worked out from the date, never uploaded twice.	📤 Pakia laha ya kila siku kwa tarehe yake — "kesho" hupatikana kutoka tarehe, hakuna kupakia mara mbili.
expected	👆 Tap any row to log a follow-up for that customer without leaving this screen.	👆 Gusa mstari wowote kuandika ufuatiliaji wa mteja bila kuondoka kwenye skrini hii.
assignments	🤝 Defaulters are auto-assigned to BIKE, MANAGER or GMO depending on how long they have been overdue.	🤝 Wadaiwa hupangiwa kiotomatiki kwa BIKE, MANAGER au GMO kutegemea muda ambao wamechelewa.
assignments	⚙️ The rotation — days per bucket, grace weeks, chronic cycle — is set by the ADMIN in Settings.	⚙️ Mzunguko — siku kwa kila kundi, wiki za neema, mzunguko sugu — hupangwa na ADMIN kwenye Settings.
assignments	🔁 Ownership moves on a clock on purpose: the same officer calling the same person every week stops working.	🔁 Umiliki hubadilika kwa saa kwa makusudi: afisa yuleyule kumpigia mteja yuleyule kila wiki huacha kufanya kazi.
assignments	🚲 BIKE is the team's dedicated recovery officer — set per team in Teams & Staff.	🚲 BIKE ni afisa maalum wa urejeshaji wa timu — hupangwa kwa kila timu kwenye Teams & Staff.
defexp	📅 Each defaulter appears on two weekly days — their disbursement weekday and three days later (Sunday rolls to Monday).	📅 Kila mdaiwa huonekana siku mbili kwa wiki — siku ya kutolewa mkopo na siku tatu baadaye (Jumapili huhamia Jumatatu).
defexp	🚨 CHRONIC means past the grace weeks; EXPIRED is still inside the grace period.	🚨 CHRONIC inamaanisha amepita wiki za neema; EXPIRED bado yuko ndani ya kipindi cha neema.
defexp	🗓️ A customer with no disbursement date cannot be placed on a weekday — they sit under the "No date" tab so nobody is lost.	🗓️ Mteja asiye na tarehe ya kutolewa mkopo hawezi kupangwa siku — yuko chini ya kichupo cha "No date" ili asipotee.
defexp	👆 Click a row to open the customer's profile and log what happened on the visit.	👆 Bofya mstari kufungua wasifu wa mteja na kuandika kilichotokea kwenye ziara.
expdfrep	👥 Every GMO, MANAGER and BIKE officer with their own expected-defaulter book — daily for the morning meeting, weekly for the record.	👥 Kila afisa wa GMO, MANAGER na BIKE na orodha yake ya wadaiwa wanaotarajiwa — ya kila siku kwa kikao cha asubuhi, ya wiki kwa kumbukumbu.
